harpnum,t_rec,totusjh,totusjz,absnjzh,savncpp,usflux,area_acr,meangam,meangbt,meangbz,meangbh,meanjzh,meanjzd,latdtmin,latdtmax,londtmin,londtmax,harpnum,t_rec,totbsq,totfz,epsz,totfy,totfx,epsy,epsx
2414,2013.02.02_21:00:00_TAI,103.74,1498925000000.0,3.665,98313090000.0,2.075251e+21,72.798828,51.013,76.89,78.418,49.177,0.00136788,-0.07184745,24.7293,33.915199,56.068298,71.727303,2414,2013.02.02_21:00:00_TAI,8061100000.0,-1317.8,-0.3101,-152.08,-1193.5,0.0179,0.1404
2414,2013.02.02_22:00:00_TAI,115.765,1815854000000.0,2.232,200940600000.0,2.181539e+21,68.942146,49.898,76.742,79.223,48.527,0.00076036,0.03575056,24.7293,33.915199,56.614101,72.273102,2414,2013.02.02_22:00:00_TAI,7613300000.0,-1372.2,-0.3419,-127.46,-1131.7,0.0159,0.141
2414,2013.02.02_23:00:00_TAI,120.151,1858965000000.0,1.862,110261600000.0,2.198298e+21,68.501976,50.607,73.847,75.978,48.392,0.00061191,0.02953961,24.7293,33.915199,57.159901,72.818901,2414,2013.02.02_23:00:00_TAI,7348800000.0,-1343.1,-0.3467,-146.66,-1037.6,0.0189,0.1339
2414,2013.02.03_00:00:00_TAI,119.235,1742885000000.0,1.526,169907100000.0,2.11271e+21,70.246147,52.157,72.139,74.912,49.374,-0.00052755,-0.11495019,24.7293,33.915199,57.7057,73.364601,2414,2013.02.03_00:00:00_TAI,7226700000.0,-1260.3,-0.3308,-137.83,-970.27,0.0181,0.1273
2414,2013.02.03_01:00:00_TAI,114.283,1568501000000.0,1.487,86501600000.0,2.082106e+21,69.412094,51.619,73.03,74.574,48.122,0.0005458,-0.06212196,24.7293,33.915199,58.251499,73.9104,2414,2013.02.03_01:00:00_TAI,7205600000.0,-1266.5,-0.3334,-142.42,-960.01,0.0187,0.1264
2414,2013.02.03_02:00:00_TAI,117.884,1668752000000.0,2.077,118173900000.0,2.102029e+21,61.78857,51.02,70.634,74.335,46.924,0.00073239,0.08153439,24.7293,33.915199,58.797298,74.4562,2414,2013.02.03_02:00:00_TAI,7175800000.0,-1277.6,-0.3377,-146.61,-934.33,0.0194,0.1235
2414,2013.02.03_03:00:00_TAI,119.269,1623675000000.0,3.759,369857700000.0,2.093337e+21,68.435707,49.98,69.186,70.018,46.132,-0.00133172,0.18620044,24.7293,33.915199,59.343102,75.001999,2414,2013.02.03_03:00:00_TAI,7067800000.0,-1185.0,-0.318,-118.4,-914.16,0.0159,0.1227
2414,2013.02.03_04:00:00_TAI,120.606,1767044000000.0,2.4,100176200000.0,2.146996e+21,64.381523,48.796,71.048,74.243,46.605,0.00081576,-0.06660852,24.7293,33.915199,59.888802,75.547798,2414,2013.02.03_04:00:00_TAI,7006700000.0,-1238.9,-0.3354,-116.0,-903.87,0.0157,0.1223
2414,2013.02.03_05:00:00_TAI,121.729,1767435000000.0,1.697,370009800000.0,2.132335e+21,66.005028,50.889,71.326,72.546,46.788,-0.00056495,0.10061607,24.7293,33.915199,60.434601,76.093597,2414,2013.02.03_05:00:00_TAI,7091900000.0,-1234.3,-0.3301,-34.981,-903.78,0.0047,0.1209
2414,2013.02.03_06:00:00_TAI,104.005,1587771000000.0,0.604,6225649000.0,2.007954e+21,64.640694,51.262,72.085,74.78,46.166,-0.00021778,-0.00029125,24.7293,33.915199,60.9804,76.639397,2414,2013.02.03_06:00:00_TAI,7365200000.0,-1219.2,-0.314,4.0173,-936.51,-0.0005,0.1206
2414,2013.02.03_07:00:00_TAI,111.858,1445587000000.0,1.717,66893000000.0,1.905095e+21,66.739647,51.757,76.698,77.566,47.242,-0.00071004,-0.05408087,24.7293,33.915199,61.526199,77.185204,2414,2013.02.03_07:00:00_TAI,7700500000.0,-1138.5,-0.2805,-69.799,-922.52,0.0086,0.1136
2414,2013.02.03_08:00:00_TAI,110.028,1425201000000.0,0.662,80413020000.0,1.95032e+21,62.390255,50.776,72.244,73.282,46.239,-0.00025581,-0.06078824,24.7293,33.915199,62.071999,77.730904,2414,2013.02.03_08:00:00_TAI,7245000000.0,-1111.1,-0.2909,-50.915,-846.64,0.0067,0.1108
2414,2013.02.03_09:00:00_TAI,102.135,1284070000000.0,2.684,140382900000.0,1.90473e+21,62.427563,52.349,72.645,73.331,45.815,-0.00106608,0.07152552,24.7293,33.915199,62.617802,78.276703,2414,2013.02.03_09:00:00_TAI,7280200000.0,-1144.7,-0.2983,-49.454,-849.05,0.0064,0.1106
2414,2013.02.03_10:00:00_TAI,101.495,1281612000000.0,1.833,10195010000.0,1.828932e+21,61.99625,51.827,73.273,74.309,44.767,0.00077856,0.00847024,24.7293,33.915199,63.163601,78.822502,2414,2013.02.03_10:00:00_TAI,7339700000.0,-1095.8,-0.2832,-3.4254,-851.37,0.0004,0.11
2414,2013.02.03_11:00:00_TAI,117.781,1489782000000.0,0.255,60599080000.0,1.840282e+21,62.587799,52.083,73.794,75.123,44.95,0.00010507,-0.04670903,24.7293,33.915199,63.709301,79.368301,2414,2013.02.03_11:00:00_TAI,7490500000.0,-1056.9,-0.2676,51.685,-873.95,-0.0065,0.1107
2414,2013.02.03_12:00:00_TAI,115.583,1538406000000.0,0.689,52884440000.0,1.843273e+21,63.250694,51.514,70.718,72.006,44.248,-0.00027068,-0.04066283,24.7293,33.915199,64.255096,79.914101,2414,2013.02.03_12:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_13:00:00_TAI,105.553,1388453000000.0,2.595,188155300000.0,1.850388e+21,60.789204,50.572,72.358,76.328,43.527,0.00105114,-0.13773553,24.7293,33.915199,64.800903,80.4599,2414,2013.02.03_13:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_14:00:00_TAI,107.212,1399680000000.0,0.771,29990960000.0,1.821825e+21,58.675915,49.378,73.251,74.009,44.619,0.00032693,0.02489522,24.7293,33.915199,65.346703,81.005699,2414,2013.02.03_14:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_15:00:00_TAI,109.061,1386059000000.0,1.343,126045000000.0,1.821951e+21,59.318287,49.254,72.423,73.653,42.563,0.00055512,-0.09774403,24.7293,33.915199,65.892502,81.551399,2414,2013.02.03_15:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_16:00:00_TAI,116.308,1469052000000.0,0.71,47952350000.0,1.79546e+21,58.654045,49.178,75.308,76.482,44.151,-0.00030712,-0.00635647,24.7293,33.915199,66.438301,82.097198,2414,2013.02.03_16:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_17:00:00_TAI,107.572,1306417000000.0,0.286,116435300000.0,1.825186e+21,57.015377,47.941,75.43,75.572,43.203,0.00012535,-0.09994623,24.7293,33.915199,66.9841,82.642998,2414,2013.02.03_17:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_18:00:00_TAI,106.639,1340542000000.0,0.939,16253290000.0,1.856895e+21,58.345791,49.045,71.482,72.778,40.467,-0.00038299,-0.00665067,24.7293,33.915199,67.5299,83.188797,2414,2013.02.03_18:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_19:00:00_TAI,113.226,1335690000000.0,1.147,129095700000.0,1.798279e+21,57.777496,48.914,71.64,75.471,41.133,-0.00048178,0.10616688,24.7293,33.915199,68.0756,83.734596,2414,2013.02.03_19:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_20:00:00_TAI,113.094,1324745000000.0,2.18,36655570000.0,1.769731e+21,55.314533,48.455,71.769,74.013,41.83,-0.00094853,0.03122065,24.7293,33.915199,68.621399,84.280403,2414,2013.02.03_20:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_21:00:00_TAI,115.773,1401903000000.0,2.014,200561700000.0,1.814922e+21,53.187897,49.221,68.838,71.06,39.286,-0.00081554,-0.1589871,24.7293,33.915199,69.167198,84.826202,2414,2013.02.03_21:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_22:00:00_TAI,107.523,1367787000000.0,3.139,101840900000.0,1.851829e+21,53.345402,50.048,63.985,66.322,36.212,-0.00118992,0.07238922,24.7293,33.915199,69.712997,85.371902,2414,2013.02.03_22:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.03_23:00:00_TAI,108.444,1326019000000.0,0.489,174277700000.0,1.836047e+21,51.988106,49.66,64.026,65.833,38.199,-0.00019254,-0.10252137,24.7293,33.915199,70.258797,85.917702,2414,2013.02.03_23:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.04_00:00:00_TAI,109.56,1289846000000.0,0.637,186586500000.0,1.865961e+21,51.307316,48.209,62.916,66.899,36.338,-0.00025108,-0.10038481,24.7293,33.915199,70.804604,86.463501,2414,2013.02.04_00:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.04_01:00:00_TAI,105.428,1261895000000.0,0.33,288008600000.0,1.856439e+21,47.386086,48.355,62.238,65.68,36.511,-0.00012999,-0.22182961,24.7293,33.915199,71.350403,87.0093,2414,2013.02.04_01:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.04_02:00:00_TAI,109.146,1265857000000.0,2.445,218294200000.0,1.801155e+21,46.50843,48.248,62.147,66.484,37.114,0.00100424,-0.15975067,24.7293,33.915199,71.896103,87.555099,2414,2013.02.04_02:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2414,2013.02.04_03:00:00_TAI,120.601,1453899000000.0,2.648,433061200000.0,1.821415e+21,45.846035,48.291,58.192,62.205,37.153,0.00103909,-0.33172646,24.7293,33.915199,72.441902,88.100899,2414,2013.02.04_03:00:00_TAI,-nan,-nan,-nan,-nan,-nan,-nan,-nan
