harp_num,t_rec,noaa_num,latdtmin,londtmin,latdtmax,londtmax
12,2010.05.10_13:00:00_TAI,11068,-23.5504,1.2202,-16.6392,17.0979
12,2010.05.03_09:00:00_TAI,11068,-23.5504,-94.497002,-16.6392,-78.619202
12,2010.05.10_12:00:00_TAI,11068,-23.5504,0.6638,-16.6392,16.5415
12,2010.05.10_10:00:00_TAI,11068,-23.5504,-0.4492,-16.6392,15.4285
12,2010.05.05_10:00:00_TAI,11068,-23.5504,-67.228699,-16.6392,-51.351002
12,2010.05.10_09:00:00_TAI,11068,-23.5504,-1.0057,-16.6392,14.872
12,2010.05.10_08:00:00_TAI,11068,-23.5504,-1.5622,-16.6392,14.3155
12,2010.05.10_07:00:00_TAI,11068,-23.5504,-2.1187,-16.6392,13.759
12,2010.05.10_06:00:00_TAI,11068,-23.5504,-2.6752,-16.6392,13.2025
12,2010.05.03_06:00:00_TAI,11068,-23.5504,-96.166397,-16.6392,-80.288696
12,2010.05.10_11:00:00_TAI,11068,-23.5504,0.1073,-16.6392,15.985
12,2010.05.03_10:00:00_TAI,11068,-23.5504,-93.940498,-16.6392,-78.062798
12,2010.05.09_16:00:00_TAI,11068,-23.5504,-10.4662,-16.6392,5.4115
12,2010.05.09_15:00:00_TAI,11068,-23.5504,-11.0227,-16.6392,4.8551
12,2010.05.09_05:00:00_TAI,11068,-23.5504,-16.587601,-16.6392,-0.7099
12,2010.05.11_03:00:00_TAI,11068,-23.5504,9.0112,-16.6392,24.888901
12,2010.05.11_04:00:00_TAI,11068,-23.5504,9.5677,-16.6392,25.4454
12,2010.05.09_04:00:00_TAI,11068,-23.5504,-17.1441,-16.6392,-1.2664
12,2010.05.09_03:00:00_TAI,11068,-23.5504,-17.7006,-16.6392,-1.8229
12,2010.05.09_02:00:00_TAI,11068,-23.5504,-18.257099,-16.6392,-2.3794
12,2010.05.11_05:00:00_TAI,11068,-23.5504,10.1242,-16.6392,26.0019
12,2010.05.03_14:00:00_TAI,11068,-23.5504,-91.7145,-16.6392,-75.8368
12,2010.05.10_19:00:00_TAI,11068,-23.5504,4.5592,-16.6392,20.436899
12,2010.05.03_15:00:00_TAI,11068,-23.5504,-91.157997,-16.6392,-75.280296
12,2010.05.05_14:00:00_TAI,11068,-23.5504,-65.002701,-16.6392,-49.125
12,2010.05.09_00:00:00_TAI,11068,-23.5504,-19.3701,-16.6392,-3.4924
12,2010.05.11_06:00:00_TAI,11068,-23.5504,10.6807,-16.6392,26.558399
12,2010.05.08_23:00:00_TAI,11068,-23.5504,-19.9266,-16.6392,-4.0489
12,2010.05.11_07:00:00_TAI,11068,-23.5504,11.2372,-16.6392,27.114901
12,2010.05.08_22:00:00_TAI,11068,-23.5504,-20.483101,-16.6392,-4.6054
12,2010.05.09_01:00:00_TAI,11068,-23.5504,-18.813601,-16.6392,-2.9359
12,2010.05.08_21:00:00_TAI,11068,-23.5504,-21.0396,-16.6392,-5.1619
12,2010.05.09_06:00:00_TAI,11068,-23.5504,-16.031099,-16.6392,-0.1534
