Events,EName,Start,Stop,peak,GOES Class,Derived Position,flare_24h,longitude
14,gev_20151017_2009,2015-10-17 20:09:00,20:28:00,20:23:00,M1.1,S18E79(2435),0,0
15,gev_20151017_2035,2015-10-17 20:35:00,20:46:00,20:42:00,M1.5,S09E23(2434),0,0
4,gev_20151015_2245,2015-10-15 22:45:00,23:37:00,23:31:00,M1.1,S11E50(2434),0,0
5,gev_20151015_2327,2015-10-15 23:27:00,23:37:00,23:31:00,M1.1,S11E49(2434),0,0
7,gev_20151016_0611,2015-10-16 06:11:00,06:20:00,06:16:00,M1.1,S11E45(2434),0,0
14,gev_20151015_2245,2015-10-15 22:45:00,23:37:00,23:31:00,M1.1,S11E50(2434),0,0
15,gev_20151015_2327,2015-10-15 23:27:00,23:37:00,23:31:00,M1.1,S11E49(2434),0,0
17,gev_20151016_0611,2015-10-16 06:11:00,06:20:00,06:16:00,M1.1,S11E45(2434),0,0
1,gev_20151004_0234,2015-10-04 02:34:00,02:48:00,02:41:00,M1.0,S18W78(2422),0,0
12,gev_20151004_0234,2015-10-04 02:34:00,02:48:00,02:41:00,M1.0,S18W78(2422),0,0
14,gev_20151004_0234,2015-10-04 02:34:00,02:48:00,02:41:00,M1.0,S18W78(2422),0,0
2,gev_20151002_1708,2015-10-02 17:08:00,17:23:00,17:18:00,M1.0,S21W78(2422),0,0
17,gev_20151004_0234,2015-10-04 02:34:00,02:48:00,02:41:00,M1.0,S18W78(2422),0,0
1,gev_20151002_1219,2015-10-02 12:19:00,12:31:00,12:26:00,M1.0,S20W73(2422),0,0
4,gev_20151002_1708,2015-10-02 17:08:00,17:23:00,17:18:00,M1.0,S21W78(2422),0,0
19,gev_20151004_0234,2015-10-04 02:34:00,02:48:00,02:41:00,M1.0,S18W78(2422),0,0
2,gev_20151002_1219,2015-10-02 12:19:00,12:31:00,12:26:00,M1.0,S20W73(2422),0,0
5,gev_20151002_1708,2015-10-02 17:08:00,17:23:00,17:18:00,M1.0,S21W78(2422),0,0
